date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
11/7/1966,Primera ronda,1,Inglaterra,Uruguay,0,0,,,,Wembley Stadium,Istvan Zsolt,
12/7/1966,Primera ronda,2,Alemania Occidental,Suiza,5,0,,,,Hillsborough Stadium,Hugh Phillips,
12/7/1966,Primera ronda,3,Brasil,Bulgaria,2,0,,,,Goodison Park,Kurt Tschenscher,
12/7/1966,Primera ronda,4,Unión Soviética,Corea del Norte,3,0,,,,Ayresome Park,Juan Gardeazabal Garay,
13/7/1966,Primera ronda,1,Francia,México,1,1,,,,Wembley Stadium,Menachem Ashkenazi,
13/7/1966,Primera ronda,2,Argentina,España,2,1,,,,Villa Park,Dimiter Rumentchev,
13/7/1966,Primera ronda,3,Portugal,Hungría,3,1,,,,Old Trafford,Leo Callaghan,
13/7/1966,Primera ronda,4,Italia,Chile,2,0,,,,Roker Park,Gottfried Dienst,
15/7/1966,Primera ronda,1,Uruguay,Francia,2,1,,,,White City Stadium,Karol Galba,
15/7/1966,Primera ronda,2,España,Suiza,2,1,,,,Hillsborough Stadium,Tofik Bakhramov,
15/7/1966,Primera ronda,3,Hungría,Brasil,3,1,,,,Goodison Park,Ken Dagnall,
15/7/1966,Primera ronda,4,Chile,Corea del Norte,1,1,,,,Ayresome Park,Ali Kandil,
16/7/1966,Primera ronda,1,Inglaterra,México,2,0,,,,Wembley Stadium,Concetto Lo Bello,
16/7/1966,Primera ronda,2,Argentina,Alemania Occidental,0,0,,,,Villa Park,Konstantin Zecevic,
16/7/1966,Primera ronda,3,Portugal,Bulgaria,3,0,,,,Old Trafford,Jose Maria Codesal,
16/7/1966,Primera ronda,4,Unión Soviética,Italia,1,0,,,,Roker Park,Rudolf Kreitlein,
19/7/1966,Primera ronda,1,México,Uruguay,0,0,,,,Wembley Stadium,Bertil Loow,
19/7/1966,Primera ronda,2,Argentina,Suiza,2,0,,,,Hillsborough Stadium,Joaquim Campos,
19/7/1966,Primera ronda,3,Portugal,Brasil,3,1,,,,Goodison Park,George McCabe,
19/7/1966,Primera ronda,4,Corea del Norte,Italia,1,0,,,,Ayresome Park,Pierre Schwinte,
20/7/1966,Primera ronda,1,Inglaterra,Francia,2,0,,,,Wembley Stadium,Arturo Yamasaki,
20/7/1966,Primera ronda,2,Alemania Occidental,España,2,1,,,,Villa Park,Armando Marques,
20/7/1966,Primera ronda,3,Hungría,Bulgaria,3,1,,,,Old Trafford,Roberto Goicoechea,
20/7/1966,Primera ronda,4,Unión Soviética,Chile,2,1,,,,Roker Park,John Adair,
23/7/1966,Cuartos de final,,Portugal,Corea del Norte,5,3,,,,Goodison Park,Menachem Ashkenazi,
23/7/1966,Cuartos de final,,Alemania Occidental,Uruguay,4,0,,,,Hillsborough Stadium,Jim Finney,
23/7/1966,Cuartos de final,,Unión Soviética,Hungría,2,1,,,,Roker Park,Juan Gardeazabal Garay,
23/7/1966,Cuartos de final,,Inglaterra,Argentina,1,0,,,,Wembley Stadium,Rudolf Kreitlein,
25/7/1966,Semifinal,,Alemania Occidental,Unión Soviética,2,1,,,,Goodison Park,Concetto Lo Bello,
26/7/1966,Semifinal,,Inglaterra,Portugal,2,1,,,,Wembley Stadium,Pierre Schwinte,
26/7/1966,Tercer puesto,,Portugal,Unión Soviética,2,1,,,,Wembley Stadium,Ken Dagnall,
30/7/1966,Final,,Inglaterra,Alemania Occidental,4,2,y,,,Wembley Stadium,Gottfried Dienst,
