date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
8/6/1958,Primera ronda,1,Alemania Occidental,Argentina,3,1,,,,Malmo Stadion,Leafe,
8/6/1958,Primera ronda,1,Irlanda del Norte,Checoslovaquia,1,0,,,,Orjans Vall,Seipelt,
8/6/1958,Primera ronda,2,Francia,Paraguay,7,3,,,,Idrottsparken,Gardeazabal,
8/6/1958,Primera ronda,2,Yugoslavia,Escocia,1,1,,,,Arosvallen,Wyssling,
8/6/1958,Primera ronda,3,Suecia,México,3,0,,,,Rasunda Stadium,Latychev,
8/6/1958,Primera ronda,3,Hungría,Gales,1,1,,,,Jernvallen,Codesal,
8/6/1958,Primera ronda,4,Brasil,Austria,3,0,,,,Rimnersvallen,Guigue,
8/6/1958,Primera ronda,4,Unión Soviética,Inglaterra,2,2,,,,Ullevi,Zsolt,
11/6/1958,Primera ronda,1,Argentina,Irlanda del Norte,3,1,,,,Orjans Vall,Ahlner,
11/6/1958,Primera ronda,1,Alemania Occidental,Checoslovaquia,2,2,,,,Olympiastadion,Ellis,
11/6/1958,Primera ronda,2,Yugoslavia,Francia,3,2,,,,Arosvallen,Benjamin Griffiths,
11/6/1958,Primera ronda,2,Paraguay,Escocia,3,2,,,,Idrottsparken,Orlandini,
11/6/1958,Primera ronda,3,México,Gales,1,1,,,,Rasunda Stadium,Lemesic,
11/6/1958,Primera ronda,4,Brasil,Inglaterra,0,0,,,,Ullevi,Dusch,
11/6/1958,Primera ronda,4,Unión Soviética,Austria,2,0,,,,Ryavallen,Jorgensen,
12/6/1958,Primera ronda,3,Suecia,Hungría,2,1,,,,Rasunda Stadium,Mowat,
15/6/1958,Primera ronda,1,Alemania Occidental,Irlanda del Norte,2,2,,,,Malmo Stadion,Campos,
15/6/1958,Primera ronda,1,Checoslovaquia,Argentina,6,1,,,,Olympiastadion,Ellis,
15/6/1958,Primera ronda,2,Francia,Escocia,2,1,,,,Eyravallen,Brozzi,
15/6/1958,Primera ronda,2,Paraguay,Yugoslavia,3,3,,,,Tunavallen,Macko,
15/6/1958,Primera ronda,3,Suecia,Gales,0,0,,,,Rasunda Stadium,Van Nuffel,
15/6/1958,Primera ronda,3,Hungría,México,4,0,,,,Jernvallen,Eriksson,
15/6/1958,Primera ronda,4,Inglaterra,Austria,2,2,,,,Ryavallen,Bronkhorst,
15/6/1958,Primera ronda,4,Brasil,Unión Soviética,2,0,,,,Ullevi,Guigue,
17/6/1958,Primera ronda,1,Irlanda del Norte,Checoslovaquia,2,1, (aet),,,Malmo Stadion,Guigue,playoff
17/6/1958,Primera ronda,4,Unión Soviética,Inglaterra,1,0,,,,Ullevi,Dusch,playoff
19/6/1958,Cuartos de final,,Francia,Irlanda del Norte,4,0,,,,Idrottsparken,Gardeazabal,
19/6/1958,Cuartos de final,,Suecia,Unión Soviética,2,0,,,,Rasunda Stadium,Leafe,
19/6/1958,Cuartos de final,,Brasil,Gales,1,0,,,,Ullevi,Seipelt,
19/6/1958,Cuartos de final,,Alemania Occidental,Yugoslavia,1,0,,,,Malmo Stadion,Wyssling,
24/6/1958,Semifinal,,Francia,Brasil,2,5,,,,Rasunda Stadium,,
24/6/1958,Semifinal,,Alemania Occidental,Suecia,1,3,,,,Ullevi, Zsolt,
28/6/1958,Tercer puesto,,Alemania Occidental,Francia,3,6,,,,Ullevi,Brozzi,
29/6/1958,Final,,Suecia,Brasil,2,5,,,,Rasunda Stadium,Maurice Guigue,
