date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
13/7/1930,Primera ronda,1,Francia,México,4,1,,,,Estadio Pocitos,Domingo Lombardi,
13/7/1930,Primera ronda,4,Estados Unidos,Bélgica,3,0,,,,Estadio Parque Central,Jose Macias,
14/7/1930,Primera ronda,2,Yugoslavia,Brasil,2,1,,,,Estadio Parque Central,Anibal Tejada,
14/7/1930,Primera ronda,3,Rumania,Perú,3,1,,,,Estadio Pocitos,Alberto Warnken,
15/7/1930,Primera ronda,1,Argentina,Francia,1,0,,,,Estadio Parque Central,Almeida Rego,
16/7/1930,Primera ronda,1,Chile,México,3,0,,,,Estadio Parque Central,Henri Christophe,
17/7/1930,Primera ronda,2,Yugoslavia,Bolivia,4,0,,,,Estadio Parque Central,Francisco Mateucci,
17/7/1930,Primera ronda,4,Estados Unidos,Paraguay,3,0,,,,Estadio Parque Central,Jose Macias,
18/7/1930,Primera ronda,3,Uruguay,Perú,1,0,,,,Estadio Centenario,John Langenus,
19/7/1930,Primera ronda,1,Chile,Francia,1,0,,,,Estadio Centenario,Anibal Tejada,
19/7/1930,Primera ronda,1,Argentina,México,6,3,,,,Estadio Centenario,Ulises Saucedo,
20/7/1930,Primera ronda,2,Brasil,Bolivia,4,0,,,,Estadio Centenario,Thomas Balvay,
20/7/1930,Primera ronda,4,Paraguay,Bélgica,1,0,,,,Estadio Centenario,Ricardo Vallarino,
21/7/1930,Primera ronda,3,Uruguay,Rumania,4,0,,,,Estadio Centenario,Almeida Rego,
22/7/1930,Primera ronda,1,Argentina,Chile,3,1,,,,Estadio Centenario,John Langenus,
26/7/1930,Semifinal,,Argentina,Estados Unidos,6,1,,,,Estadio Centenario,John Langenus,
27/7/1930,Semifinal,,Uruguay,Yugoslavia,6,1,,,,Estadio Centenario,Almeida Rego,
30/7/1930,Final,,Uruguay,Argentina,4,2,,,,Estadio Centenario,John Langenus,
