date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
23/6/2010,Fase de grupos,C,Estados Unidos,Argelia,1,0,,,,Loftus Versfeld Stadium,Frank De Bleeckere,
23/6/2010,Fase de grupos,D,Ghana,Alemania,0,1,,,,Soccer City Johannesburg,Carlos Simon,
23/6/2010,Fase de grupos,D,Australia,Serbia,2,1,,,,Mbombela Stadium,Jorge Larrionda,
24/6/2010,Fase de grupos,E,Dinamarca,Japón,1,3,,,,Royal Bafokeng Stadium,Jerome Damon,
24/6/2010,Fase de grupos,E,Camerún,Holanda,1,2,,,,Cape Town Stadium,Pablo Pozo,
24/6/2010,Fase de grupos,F,Eslovaquia,Italia,3,2,,,,Ellis Park Stadium,Howard Webb,
24/6/2010,Fase de grupos,F,Paraguay,Nueva Zelanda,0,0,,,,Peter Mokoba Stadium,Yuichi Nishamura,
25/6/2010,Fase de grupos,G,Portugal,Brasil,0,0,,,,Moses Mabhida Stadium,Benito Archundia,
25/6/2010,Fase de grupos,G,Corea del Norte,Costa de Marfil,0,3,,,,Mbombela Stadium,Alberto Undiano Mallenco,
25/6/2010,Fase de grupos,H,Chile,España,1,2,,,,Loftus Versfeld Stadium,Marco Rodriguez,
25/6/2010,Fase de grupos,H,Suiza,Honduras,0,0,,,,Free State Stadium,Hector Baldassi,
26/6/2010,Octavos de final,,Uruguay,Corea del Sur,2,1,,,,Nelson Mandela Bay Stadium,Wolfgang Stark,
26/6/2010,Octavos de final,,Estados Unidos,Ghana,1,2,y,,,Royal Bafokeng Stadium,Viktor Kassai,
27/6/2010,Octavos de final,,Alemania,Inglaterra,4,1,,,,Free State Stadium,Jorge Larrionda,
27/6/2010,Octavos de final,,Argentina,México,3,1,,,,Soccer City Johannesburg,Roberto Rosetti,
28/6/2010,Octavos de final,,Holanda,Eslovaquia,2,1,,,,Moses Mabhida Stadium,Alberto Undiano Mallenco,
28/6/2010,Octavos de final,,Brasil,Chile,3,0,,,,Ellis Park Stadium,Howard Webb,
29/6/2010,Octavos de final,,Paraguay,Japón,0,0,y,5,3,Loftus Versfeld Stadium,Frank De Bleeckere,
29/6/2010,Octavos de final,,España,Portugal,1,0,,,,Cape Town Stadium,Hector Baldassi,
2/7/2010,Cuartos de final,,Holanda,Brasil,2,1,,,,Nelson Mandela Bay Stadium,Yuichi Nishimura,
2/7/2010,Cuartos de final,,Uruguay,Ghana,1,1,y,4,2,Soccer City Johannesburg,Olegario Benquerenca,
3/7/2010,Cuartos de final,,Argentina,Alemania,0,4,,,,Cape Town Stadium,Ravshan Irmatov,
3/7/2010,Cuartos de final,,Paraguay,España,0,1,,,,Ellis Park Stadium,Carlos Batres,
6/7/2010,Semifinal,,Uruguay,Holanda,2,3,,,,Cape Town Stadium,Ravshan Irmatov,
7/7/2010,Semifinal,,Alemania,España,0,1,,,,Moses Mabhida Stadium,Viktor Kassai,
10/7/2010,Tercer puesto,,Uruguay,Alemania,2,3,,,,Nelson Mandela Bay Stadium,Benito Archundia,
11/7/2010,Final,,Holanda,España,0,1,y,,,Soccer City Johannesburg,Howard Webb,
