date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
11/6/2010,Fase de grupos,A,Sudáfrica,México,1,1,,,,Soccer City Johannesburg,Ravshan Irmatov,
11/6/2010,Fase de grupos,A,Uruguay,Francia,0,0,,,,Cape Town Stadium,Yuichi Nishimura,
12/6/2010,Fase de grupos,B,Corea del Sur,Grecia,2,0,,,,Nelson Mandela Bay Stadium,Michael Hester,
12/6/2010,Fase de grupos,B,Argentina,Nigeria,1,0,,,,Ellis Park Stadium,Wolfgang Stark,
12/6/2010,Fase de grupos,C,Inglaterra,Estados Unidos,1,1,,,,Royal Bafokeng Stadium,Carlos Simon,
13/6/2010,Fase de grupos,C,Argelia,Eslovenia,0,1,,,,Peter Mokoba Stadium,Carlos Batres,
13/6/2010,Fase de grupos,D,Serbia,Ghana,0,1,,,,Loftus Versfeld Stadium,Hector Baldassi,
13/6/2010,Fase de grupos,D,Alemania,Australia,4,0,,,,Moses Mabhida Stadium,Marco Antonio Rodriguez,
14/6/2010,Fase de grupos,E,Holanda,Dinamarca,2,0,,,,Soccer City Johannesburg,Stephane Lannoy,
14/6/2010,Fase de grupos,E,Japón,Camerún,1,0,,,,Free State Stadium,Olegario Benquerenca,
14/6/2010,Fase de grupos,F,Italia,Paraguay,1,1,,,,Cape Town Stadium,Benito Archundia,
15/6/2010,Fase de grupos,F,Nueva Zelanda,Eslovaquia,1,1,,,,Royal Bafokeng Stadium,Jerome Damon,
15/6/2010,Fase de grupos,G,Costa de Marfil,Portugal,0,0,,,,Nelson Mandela Bay Stadium,Jorge Larrionda,
15/6/2010,Fase de grupos,G,Brasil,Corea del Norte,2,1,,,,Ellis Park Stadium,Viktor Kassai,
16/6/2010,Fase de grupos,A,Sudáfrica,Uruguay,0,3,,,,Loftus Versfeld Stadium,Massimo Busacca,
16/6/2010,Fase de grupos,H,Honduras,Chile,0,1,,,,Mbombela Stadium,Eddy Maillet,
16/6/2010,Fase de grupos,H,España,Suiza,0,1,,,,Moses Mabhida Stadium,Howard Webb,
17/6/2010,Fase de grupos,A,Francia,México,0,2,,,,Peter Mokoba Stadium,Khalil Al Ghamdi,
17/6/2010,Fase de grupos,B,Argentina,Corea del Sur,4,1,,,,Soccer City Johannesburg,Frank De Bleeckere,
17/6/2010,Fase de grupos,B,Grecia,Nigeria,2,1,,,,Free State Stadium,Oscar Ruiz,
18/6/2010,Fase de grupos,C,Eslovenia,Estados Unidos,2,2,,,,Ellis Park Stadium,Koman Coulibaly,
18/6/2010,Fase de grupos,C,Inglaterra,Argelia,0,0,,,,Cape Town Stadium,Ravshan Irmatov,
18/6/2010,Fase de grupos,D,Alemania,Serbia,0,1,,,,Nelson Mandela Bay Stadium,Alberto Undiano Mallenco,
19/6/2010,Fase de grupos,D,Ghana,Australia,1,1,,,,Royal Bafokeng Stadium,Robert Rosetti,
19/6/2010,Fase de grupos,E,Holanda,Japón,1,0,,,,Moses Mabhida Stadium,Hector Baldassi,
19/6/2010,Fase de grupos,E,Camerún,Dinamarca,1,2,,,,Loftus Versfeld Stadium,Jorge Larrionda,
20/6/2010,Fase de grupos,F,Eslovaquia,Paraguay,0,2,,,,Free State Stadium,Eddy Maillet,
20/6/2010,Fase de grupos,F,Italia,Nueva Zelanda,1,1,,,,Mbombela Stadium,Carlos Batres,
20/6/2010,Fase de grupos,G,Brasil,Costa de Marfil,3,1,,,,Soccer City Johannesburg,Stephane Lannoy,
21/6/2010,Fase de grupos,G,Portugal,Corea del Norte,7,0,,,,Cape Town Stadium,Pablo Pozo,
21/6/2010,Fase de grupos,H,Chile,Suiza,1,0,,,,Nelson Mandela Bay Stadium,Khalil Al Ghamdi,
21/6/2010,Fase de grupos,H,España,Honduras,2,0,,,,Ellis Park Stadium,Yuichi Nishimura,
22/6/2010,Fase de grupos,A,México,Uruguay,0,1,,,,Royal Bafokeng Stadium,Viktor Kassai,
22/6/2010,Fase de grupos,A,Francia,Sudáfrica,1,2,,,,Free State Stadium,Oscar Ruiz,
22/6/2010,Fase de grupos,B,Nigeria,Corea del Sur,2,2,,,,Durban Stadium,Olegario Benquerenca,
22/6/2010,Fase de grupos,B,Grecia,Argentina,0,2,,,,Peter Mokoba Stadium,Ravshan Irmatov,
23/6/2010,Fase de grupos,C,Eslovenia,Inglaterra,0,1,,,,Nelson Mandela Bay Stadium,Wolfgang Stark,
