date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
12/6/2014,Fase de grupos,A,Brasil,Croacia,3,1,,,,Arena de Sao Paulo,Yuichi Nishimura,
13/6/2014,Fase de grupos,A,México,Camerún,1,0,,,,Arena das Dunas,Wilmar Roldan,
13/6/2014,Fase de grupos,B,España,Holanda,1,5,,,,Arena Fonte Nova,Nicola Rizzoli,
13/6/2014,Fase de grupos,B,Chile,Australia,3,1,,,,Arena Pantanal,Noumandiez Doue,
14/6/2014,Fase de grupos,C,Colombia,Grecia,3,0,,,,Estadio Mineirao,Mark Geiger,
14/6/2014,Fase de grupos,C,Costa de Marfil,Japón,2,1,,,,Arena Pernambucano,Enrique Osses,
14/6/2014,Fase de grupos,D,Uruguay,Costa Rica,1,3,,,,Estadio Castelao,Felix Brych,
14/6/2014,Fase de grupos,D,Inglaterra,Italia,1,2,,,,Arena Amazonia,Bjorn Kuipers,
15/6/2014,Fase de grupos,E,Suiza,Ecuador,2,1,,,,Estadio Nacional Mane Garrincha,Ravshan Irmatov,
15/6/2014,Fase de grupos,E,Francia,Honduras,3,0,,,,Estadio Beira-Rio,Sandro Ricci,
15/6/2014,Fase de grupos,F,Argentina,Bosnia Herzegovina,2,1,,,,Estadio do Maracana,Joel Aguilar,
16/6/2014,Fase de grupos,F,Irán,Nigeria,0,0,,,,Arena de Baixada,Carlos Vera,
16/6/2014,Fase de grupos,G,Alemania,Portugal,4,0,,,,Arena Fonte Nova,Milorad Mazic,
16/6/2014,Fase de grupos,G,Ghana,Estados Unidos,1,2,,,,Arena das Dunas,Jonas Eriksson,
17/6/2014,Fase de grupos,A,Brasil,México,0,0,,,,Estadio Castelao,Cuneyt Cakir,
17/6/2014,Fase de grupos,H,Bélgica,Argelia,2,1,,,,Estadio Mineirao,Marco Rodriguez,
17/6/2014,Fase de grupos,H,Rusia,Corea del Sur,1,1,,,,Arena Pantanal,Nestor Pitana,
18/6/2014,Fase de grupos,A,Camerún,Croacia,0,4,,,,Arena Amazonia,Pedro Proenca,
18/6/2014,Fase de grupos,B,España,Chile,0,2,,,,Estadio do Maracana,Mark Geiger,
18/6/2014,Fase de grupos,B,Australia,Holanda,2,3,,,,Estadio Beira-Rio,Djamel Haimoudi,
19/6/2014,Fase de grupos,C,Colombia,Costa de Marfil,2,1,,,,Estadio Nacional Mane Garrincha,Howard Webb,
19/6/2014,Fase de grupos,C,Japón,Grecia,0,0,,,,Arena das Dunas,Joel Aguilar,
19/6/2014,Fase de grupos,D,Uruguay,Inglaterra,2,1,,,,Arena de Sao Paulo,Carlos Velasco Carballo,
20/6/2014,Fase de grupos,D,Italia,Costa Rica,0,1,,,,Arena Pernambucano,Enrique Osses,
20/6/2014,Fase de grupos,E,Suiza,Francia,2,5,,,,Arena Fonte Nova,Bjorn Kuipers,
20/6/2014,Fase de grupos,E,Honduras,Ecuador,1,2,,,,Arena de Baixada,Ben Williams,
21/6/2014,Fase de grupos,F,Argentina,Irán,1,0,,,,Estadio Mineirao,Milorad Mazic,
21/6/2014,Fase de grupos,F,Nigeria,Bosnia Herzegovina,1,0,,,,Arena Pantanal,Peter O'Leary,
21/6/2014,Fase de grupos,G,Alemania,Ghana,2,2,,,,Estadio Castelao,Sandro Ricci,
22/6/2014,Fase de grupos,G,Estados Unidos,Portugal,2,2,,,,Arena Amazonia,Nestor Pitana,
22/6/2014,Fase de grupos,H,Bélgica,Rusia,1,0,,,,Estadio do Maracana,Felix Brych,
22/6/2014,Fase de grupos,H,Corea del Sur,Argelia,2,4,,,,Estadio Beira-Rio,Wilmar Roldan,
23/6/2014,Fase de grupos,A,Camerún,Brasil,1,4,,,,Estadio Nacional Mane Garrincha,Jonas Eriksson,
23/6/2014,Fase de grupos,A,Croacia,México,1,3,,,,Arena Pernambucano,Ravshan Irmatov,
23/6/2014,Fase de grupos,B,Australia,España,0,3,,,,Arena de Baixada,Nawaf Shukralla,
23/6/2014,Fase de grupos,B,Holanda,Chile,2,0,,,,Arena de Sao Paulo,Bakary Gassama,
24/6/2014,Fase de grupos,C,Japón,Colombia,1,4,,,,Arena Pantanal,Pedro Proenca,
24/6/2014,Fase de grupos,C,Grecia,Costa de Marfil,2,1,,,,Estadio Castelao,Carlos Vera,
24/6/2014,Fase de grupos,D,Italia,Uruguay,0,1,,,,Arena das Dunas,Marco Rodriguez,
24/6/2014,Fase de grupos,D,Costa Rica,Inglaterra,0,0,,,,Estadio Mineirao,Djamel Haimoudi,
25/6/2014,Fase de grupos,E,Honduras,Suiza,0,3,,,,Arena Amazonia,Nestor Pitana,
25/6/2014,Fase de grupos,E,Ecuador,Francia,0,0,,,,Estadio do Maracana,Noumandiez Doue,
25/6/2014,Fase de grupos,F,Nigeria,Argentina,2,3,,,,Estadio Beira-Rio,Nicola Rizzoli,
25/6/2014,Fase de grupos,F,Bosnia Herzegovina,Irán,3,1,,,,Arena Fonte Nova,Carlos Velasco Carballo,
