date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
9/6/2006,Fase de grupos,A,Alemania,Costa Rica,4,2,,,,Allianz Arena,Horacio Elizondo,
9/6/2006,Fase de grupos,A,Polonia,Ecuador,0,2,,,,Veltins-Arena,Toru Kamikawa,
10/6/2006,Fase de grupos,B,Inglaterra,Paraguay,1,0,,,,Commerzbank-Arena,Marco Rodriguez,
10/6/2006,Fase de grupos,B,Trinidad y Tobago,Suecia,0,0,,,,Signal Iduna Park,Shamsul Maidin,
10/6/2006,Fase de grupos,C,Argentina,Costa de Marfil,2,1,,,,AOL Arena,Frank De Bleeckere,
11/6/2006,Fase de grupos,C,Serbia y Montenegro,Holanda,0,1,,,,Zentralstadion,Markus Merk,
11/6/2006,Fase de grupos,D,México,Irán,3,1,,,,Frankenstadion,Roberto Rosetti,
11/6/2006,Fase de grupos,D,Angola,Portugal,0,1,,,,RheinEnergieStadion,Jorge Larrionda,
12/6/2006,Fase de grupos,E,Estados Unidos,República Checa,0,3,,,,Veltins-Arena,Carlos Amarilla,
12/6/2006,Fase de grupos,E,Italia,Ghana,2,0,,,,AWD-Arena,Carlos Simon,
12/6/2006,Fase de grupos,F,Australia,Japón,3,1,,,,Fritz Walter Stadion,Essam Abd El Fatah,
13/6/2006,Fase de grupos,F,Brasil,Croacia,1,0,,,,Olympiastadion,Benito Archundia,
13/6/2006,Fase de grupos,G,Corea del Sur,Togo,2,1,,,,Commerzbank-Arena,Graham Poll,
13/6/2006,Fase de grupos,G,Francia,Suiza,0,0,,,,Gottlieb-Daimler-Stadion,Valentin Ivanov,
14/6/2006,Fase de grupos,A,Alemania,Polonia,1,0,,,,Signal Iduna Park,Luis Medina Cantalejo,
14/6/2006,Fase de grupos,H,España,Ucrania,4,0,,,,Zentralstadion,Massimo Busacca,
14/6/2006,Fase de grupos,H,Túnez,Arabia Saudita,2,2,,,,Allianz Arena,Mark Shield,
15/6/2006,Fase de grupos,A,Ecuador,Costa Rica,3,0,,,,HSH Nordbank Arena,Coffi Codija,
15/6/2006,Fase de grupos,B,Inglaterra,Trinidad y Tobago,2,0,,,,Frankenstadion,Toru Kamikawa ,
15/6/2006,Fase de grupos,B,Suecia,Paraguay,1,0,,,,Olympiastadion,Lubos Michel,
16/6/2006,Fase de grupos,C,Argentina,Serbia y Montenegro,6,0,,,,Veltins-Arena,Roberto Rosetti,
16/6/2006,Fase de grupos,C,Holanda,Costa de Marfil,2,1,,,,Gottlieb-Daimler-Stadion,Oscar Ruiz,
16/6/2006,Fase de grupos,D,México,Angola,0,0,,,,AWD-Arena,Shamsul Maidin,
17/6/2006,Fase de grupos,D,Portugal,Irán,2,0,,,,Commerzbank-Arena,Eric Poulat,
17/6/2006,Fase de grupos,E,República Checa,Ghana,0,2,,,,RheinEnergieStadion,Horacio Elizondo,
17/6/2006,Fase de grupos,E,Italia,Estados Unidos,1,1,,,,Fritz Walter Stadion,Jorge Larrionda,
18/6/2006,Fase de grupos,F,Japón,Croacia,0,0,,,,Frankenstadion,Frank De Bleeckere,
18/6/2006,Fase de grupos,F,Brasil,Australia,2,0,,,,Allianz Arena,Markus Merk,
18/6/2006,Fase de grupos,G,Francia,Corea del Sur,1,1,,,,Zentralstadion,Benito Archundia,
19/6/2006,Fase de grupos,G,Togo,Suiza,0,2,,,,Signal Iduna Park,Carlos Amarilla,
19/6/2006,Fase de grupos,H,Arabia Saudita,Ucrania,0,4,,,,AOL Arena,Graham Poll,
19/6/2006,Fase de grupos,H,España,Túnez,3,1,,,,Gottlieb-Daimler-Stadion,Carlos Simon,
20/6/2006,Fase de grupos,A,Ecuador,Alemania,0,3,,,,Olympiastadion,Valentin Ivanov,
20/6/2006,Fase de grupos,A,Costa Rica,Polonia,1,2,,,,AWD-Arena,Shamsul Maidin,
20/6/2006,Fase de grupos,B,Suecia,Inglaterra,2,2,,,,RheinEnergieStadion,Massimo Busacca,
20/6/2006,Fase de grupos,B,Paraguay,Trinidad y Tobago,2,0,,,,Fritz Walter Stadion,Roberto Rosetti,
21/6/2006,Fase de grupos,C,Holanda,Argentina,0,0,,,,Commerzbank-Arena,Luis Medina Cantalejo,
