date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
8/6/1990,Fase de grupos,B,Argentina,Camerún,0,1,,,,San Siro,Michel Vautrot,
9/6/1990,Fase de grupos,A,Italia,Austria,1,0,,,,Stadio Olimpico,Jose Roberto Wright,
9/6/1990,Fase de grupos,B,Unión Soviética,Rumania,0,2,,,,Stadio San Nicola,Juan Daniel Cardellino,
9/6/1990,Fase de grupos,D,Emiratos Árabes Unidos,Colombia,0,2,,,,Stadio Renato Dall'Aria,George Courtney,
10/6/1990,Fase de grupos,A,Estados Unidos,Checoslovaquia,1,5,,,,Stadio Comunale,Kurt Rothlisberger,
10/6/1990,Fase de grupos,C,Brasil,Suecia,2,1,,,,Stadio Delle Alpi,Tullio Lanese,
10/6/1990,Fase de grupos,D,Alemania Occidental,Yugoslavia,4,1,,,,San Siro,Peter Mikkelsen,
11/6/1990,Fase de grupos,C,Costa Rica,Escocia,1,0,,,,Stadio Luigi Ferraris,Juan Carlos Loustau,
11/6/1990,Fase de grupos,F,Inglaterra,República de Irlanda,1,1,,,,Stadio Sant'Elia,Aron Schmidhuber,
12/6/1990,Fase de grupos,E,Bélgica,Corea del Sur,2,0,,,,Stadio Marc'Antonio Bentegodi,Vincent Mauro,
12/6/1990,Fase de grupos,F,Holanda,Egipto,1,1,,,,Stadio La Favorita,Emilio Soriano Aladren,
13/6/1990,Fase de grupos,B,Argentina,Unión Soviética,2,0,,,,Stadio San Paolo,Erik Fredriksson,
13/6/1990,Fase de grupos,E,Uruguay,España,0,0,,,,Stadio Friuli,Helmut Kohl,
14/6/1990,Fase de grupos,A,Italia,Estados Unidos,1,0,,,,Stadio Olimpico,Edgardo Codesal,
14/6/1990,Fase de grupos,B,Camerún,Rumania,2,1,,,,Stadio San Nicola,Hernan Silva,
14/6/1990,Fase de grupos,D,Yugoslavia,Colombia,1,0,,,,Stadio Renato Dall'Ara,Luigi Agnolin,
15/6/1990,Fase de grupos,A,Austria,Checoslovaquia,0,1,,,,Stadio Comunale,George Smith,
15/6/1990,Fase de grupos,D,Alemania Occidental,Emiratos Árabes Unidos,5,1,,,,San Siro,Alexey Spirin,
16/6/1990,Fase de grupos,C,Brasil,Costa Rica,1,0,,,,Stadio Delle Alpi,Neji Jouini,
16/6/1990,Fase de grupos,C,Suecia,Escocia,1,2,,,,Stadio Luigi Ferraris,Carlos Maciel,
16/6/1990,Fase de grupos,F,Inglaterra,Holanda,0,0,,,,Stadio Sant'Elia,Zoran Petrovic,
17/6/1990,Fase de grupos,E,Bélgica,Uruguay,3,1,,,,Stadio Marc'Antonio Bentegodi,Siegfried Kirschen,
17/6/1990,Fase de grupos,E,Corea del Sur,España,1,3,,,,Stadio Friuli,Elias Jacome,
17/6/1990,Fase de grupos,F,República de Irlanda,Egipto,0,0,,,,Stadio La Favorita,Marcel van Langenhove,
18/6/1990,Fase de grupos,B,Argentina,Rumania,1,1,,,,Stadio San Paola,Carlos Silva Valente,
18/6/1990,Fase de grupos,B,Camerún,Unión Soviética,0,4,,,,Stadio San Nicola,Jose Roberto Wright,
19/6/1990,Fase de grupos,A,Italia,Checoslovaquia,2,0,,,,Stadio Olimpico,Joel Quiniou,
19/6/1990,Fase de grupos,A,Austria,Estados Unidos,2,1,,,,Stadio Comunale,Jamal Al Sharif,
19/6/1990,Fase de grupos,D,Alemania Occidental,Colombia,1,1,,,,San Siro,Alan Snoddy,
19/6/1990,Fase de grupos,D,Yugoslavia,Emiratos Árabes Unidos,4,1,,,,Stadio Renato Dall'Aria,Shizuo Takada,
20/6/1990,Fase de grupos,C,Brasil,Escocia,1,0,,,,Stadio Delle Alpi,Helmut Kohl,
20/6/1990,Fase de grupos,C,Suecia,Costa Rica,1,2,,,,Stadio Luigi Ferraris,Zoran Petrovic,
21/6/1990,Fase de grupos,E,Bélgica,España,1,2,,,,Stadio Marc'Antonio Bentegodi,Juan Carlos Loustau,
21/6/1990,Fase de grupos,E,Corea del Sur,Uruguay,0,1,,,,Stadio Friuli,Tullio Lanese,
21/6/1990,Fase de grupos,F,Inglaterra,Egipto,1,0,,,,Stadio Sant'Elia,Kurt Rothlisberger,
21/6/1990,Fase de grupos,F,República de Irlanda,Holanda,1,1,,,,Stadio La Favorita,Michel Vautrot,
23/6/1990,Octavos de final,,Camerún,Colombia,2,1,y,,,Stadio San Paolo,Tullio Lanense,
23/6/1990,Octavos de final,,Checoslovaquia,Costa Rica,4,1,,,,Stadio San Nicola,Siegfried Kirschen,
24/6/1990,Octavos de final,,Brasil,Argentina,0,1,,,,Stadio Delle Alpi,Joel Quiniou,
24/6/1990,Octavos de final,,Alemania Occidental,Holanda,2,1,,,,San Siro,Juan Carlos Loustau,
25/6/1990,Octavos de final,,República de Irlanda,Rumania,0,0,y,5,4,Stadio Luigi Ferraris,Jose Roberto Wright,
25/6/1990,Octavos de final,,Italia,Uruguay,2,0,,,,Stadio Olimpico,George Courtney,
26/6/1990,Octavos de final,,España,Yugoslavia,1,2,y,,,Stadio Marc'Antonio Bentegodi,Aron Schmidhuber,
