date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
31/5/2002,Fase de grupos,A,Francia,Senegal,0,1,,,,Seoul World Cup Stadium,Ali Bujsaim,
1/6/2002,Fase de grupos,A,Uruguay,Dinamarca,1,2,,,,Munsu Cup Stadium,Saad Mane,
1/6/2002,Fase de grupos,E,Irlanda,Camerún,1,1,,,,Niigata Stadium,Toru Kamikawa,
1/6/2002,Fase de grupos,E,Alemania,Arabia Saudita,8,0,,,,Sapporo Dome,Ubaldo Aquino,
2/6/2002,Fase de grupos,B,Paraguay,Sudáfrica,2,2,,,,Busan Asiad Main Stadium,Lubos Michel,
2/6/2002,Fase de grupos,B,España,Eslovenia,3,1,,,,Gwangju World Cup Stadium,Mohamed Guezzaz,
2/6/2002,Fase de grupos,F,Argentina,Nigeria,1,0,,,,Kashima Soccer Stadium,Gilles Veissiere,
2/6/2002,Fase de grupos,F,Inglaterra,Suecia,1,1,,,,Saitama Stadium,Carlos Simon,
3/6/2002,Fase de grupos,C,Brasil,Turquía,2,1,,,,Munsu Cup Stadium,Kim Young-Joo,
3/6/2002,Fase de grupos,G,Croacia,México,0,1,,,,Niigata Big Swan Stadium,Lu Jun,
3/6/2002,Fase de grupos,G,Italia,Ecuador,2,0,,,,Sapporo Dome,Brian Hall,
4/6/2002,Fase de grupos,C,China,Costa Rica,0,2,,,,Gwangju World Cup Stadium,Kyros Vassaras,
4/6/2002,Fase de grupos,D,Corea del Sur,Polonia,2,0,,,,Busan Asiad Main Stadium,Oscar Ruiz,
4/6/2002,Fase de grupos,H,Japón,Bélgica,2,2,,,,Saitama Stadium,William Mattus,
5/6/2002,Fase de grupos,D,Estados Unidos,Portugal,3,2,,,,Suwon World Cup Stadium,Byron Moreno,
5/6/2002,Fase de grupos,E,Alemania,Irlanda,1,1,,,,Kashima Soccer Stadium,Kim Milton Nielsen,
5/6/2002,Fase de grupos,H,Rusia,Túnez,2,0,,,,Kobe Wing Stadium,Peter Prendergast,
6/6/2002,Fase de grupos,A,Dinamarca,Senegal,1,1,,,,Daegu World Cup Stadium,Carlos Batres,
6/6/2002,Fase de grupos,A,Francia,Uruguay,0,0,,,,Busan Asiad Main Stadium,Felipe Ramos,
6/6/2002,Fase de grupos,E,Camerún,Arabia Saudita,1,0,,,,Saitama Stadium,Terje Hauge,
7/6/2002,Fase de grupos,B,España,Paraguay,3,1,,,,Jeonju World Cup Stadium,Gamal Al-Ghandour,
7/6/2002,Fase de grupos,F,Suecia,Nigeria,2,1,,,,Kobe Wing Stadium,Rene Ortube,
7/6/2002,Fase de grupos,F,Argentina,Inglaterra,0,1,,,,Sapporo Dome,Pierluigi Collina,
8/6/2002,Fase de grupos,B,Sudáfrica,Eslovenia,1,0,,,,Daegu World Cup Stadium,Angel Sanchez,
8/6/2002,Fase de grupos,C,Brasil,China,4,0,,,,Jeju World Cup Stadium,Anders Frisk,
8/6/2002,Fase de grupos,G,Italia,Croacia,1,2,,,,Kashima Soccer Stadium,Graham Poll,
9/6/2002,Fase de grupos,C,Costa Rica,Turquía,1,1,,,,Incheon Munhak Stadium,Coffi Codjia,
9/6/2002,Fase de grupos,G,México,Ecuador,2,1,,,,Miyagi Stadium,Mourad Daami,
9/6/2002,Fase de grupos,H,Japón,Rusia,1,0,,,,International Stadium Yokohama,Markus Merk,
10/6/2002,Fase de grupos,D,Corea del Sur,Estados Unidos,1,1,,,,Daegu World Cup Stadium,Urs Meier,
10/6/2002,Fase de grupos,D,Portugal,Polonia,4,0,,,,Jeonju World Cup Stadium,Hugh Dallas,
10/6/2002,Fase de grupos,H,Túnez,Bélgica,1,1,,,,Oita Big Eye Stadium,Mark Shield,
11/6/2002,Fase de grupos,A,Dinamarca,Francia,2,0,,,,Incheon Munhak Stadium,Vitor Melo Pereira,
11/6/2002,Fase de grupos,A,Senegal,Uruguay,3,3,,,,Suwon World Cup Stadium,Jan Wegereef,
11/6/2002,Fase de grupos,E,Camerún,Alemania,0,2,,,,Ecopa Stadium,Antonio Lopez Nieto,
11/6/2002,Fase de grupos,E,Arabia Saudita,República de Irlanda,0,3,,,,International Stadium Yokohama,Falla N'Doye,
12/6/2002,Fase de grupos,B,Sudáfrica,España,2,3,,,,Daejeon World Cup Stadium,Saad Mane,
12/6/2002,Fase de grupos,B,Eslovenia,Paraguay,1,3,,,,Jeju World Cup Stadium,Felipe Ramos,
12/6/2002,Fase de grupos,F,Suecia,Argentina,1,1,,,,Miyagi Stadium,Ali Bujsaim,
12/6/2002,Fase de grupos,F,Nigeria,Inglaterra,0,0,,,,Nagai Stadium,Brian Hall,
13/6/2002,Fase de grupos,C,Costa Rica,Brasil,2,5,,,,Suwon World Cup Stadium,Gamal Al-Ghandour,
13/6/2002,Fase de grupos,C,Turquía,China,3,0,,,,Seoul World Cup Stadium,Oscar Ruiz,
13/6/2002,Fase de grupos,G,México,Italia,1,1,,,,Oita Big Eye Stadium,Carlos Simon,
13/6/2002,Fase de grupos,G,Ecuador,Croacia,1,0,,,,International Stadium Yokohama,William Mattus,
14/6/2002,Fase de grupos,D,Portugal,Corea del Sur,0,1,,,,Incheon Munhak Stadium,Angel Sanchez,
14/6/2002,Fase de grupos,D,Polonia,Estados Unidos,3,1,,,,Daejeon World Cup Stadium,Lu Jun,
14/6/2002,Fase de grupos,H,Túnez,Japón,0,2,,,,Nagai Stadium,Gilles Veissiere,
14/6/2002,Fase de grupos,H,Bélgica,Rusia,3,2,,,,Shizuoka Ecopa Stadium,Kim Milton Nielsen,
15/6/2002,Octavos de final,,Alemania,Paraguay,1,0,,,,Jeju World Cup Stadium,Carlos Batres,
15/6/2002,Octavos de final,,Dinamarca,Inglaterra,0,3,,,,Niigata Stadium,Markus Merk,
16/6/2002,Octavos de final,,Suecia,Senegal,1,2,y,,,Oita Stadium,Ubaldo Aquino,
16/6/2002,Octavos de final,,España,República de Irlanda,1,1,y,3,2,Suwon World Cup Stadium,Anders Frisk,
17/6/2002,Octavos de final,,México,Estados Unidos,0,2,,,,Jeonju World Cup Stadium,Vitor Melo Pereira,
17/6/2002,Octavos de final,,Brasil,Bélgica,2,0,,,,Kobe Wing Stadium,Peter Prendergast,
18/6/2002,Octavos de final,,Japón,Turquía,0,1,,,,Miyagi Stadium,Pierluigi Colina,
18/6/2002,Octavos de final,,Corea del Sur,Italia,2,1,y,,,Daejeon World Cup Stadium,Byron Moreno,
21/6/2002,Cuartos de final,,Inglaterra,Brasil,1,2,,,,Shizuoka Stadium,Felipe Ramos,
21/6/2002,Cuartos de final,,Alemania,Estados Unidos,1,0,,,,Munsu Cup Stadium,Hugh Dallas,
22/6/2002,Cuartos de final,,España,Corea del Sur,0,0,y,3,5,Gwangju World Cup Stadium,Gamal Al-Ghandour,
22/6/2002,Cuartos de final,,Senegal,Turquía,0,1,y,,,Nagai Stadium,Oscar Ruiz,
25/6/2002,Semifinal,,Alemania,Corea del Sur,1,0,,,,Seoul World Cup Stadium,Urs Meier,
26/6/2002,Semifinal,,Brasil,Turquía,1,0,,,,Saitama Stadium,Kim Milton Nielsen,
29/6/2002,Tercer puesto,,Corea del Sur,Turquía,2,3,,,,Daegu World Cup Stadium,Saad Mane,
30/6/2002,Final,,Alemania,Brasil,0,2,,,,International Stadium Yokohama,Pierluigi Collina,
