date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
4/6/1938,Primera ronda,,Suiza,Alemania,1,1,y,,,Parc des Princes,John Langenus,
5/6/1938,Primera ronda,,Hungría,Indias Orientales Holandesas,6,0,,,,Velodrome Municipal,Roger Conrie,
5/6/1938,Primera ronda,,Suecia,Austria,,,,,,Stade Gerland,,Suecia ganador (anexión de Austria a Alemania)
5/6/1938,Primera ronda,,Cuba,Rumania,3,3, (aet),,,Stade Chapou,Giuseppe Scarpi,
5/6/1938,Primera ronda,,Francia,Bélgica,3,1,,,,Stade Olympique de Colombes,Hans Wuthrich,
5/6/1938,Primera ronda,,Italia,Noruega,2,1, (aet),,,Stade Velodrome,Alois Beranek,
5/6/1938,Primera ronda,,Brasil,Polonia,6,5, (aet),,,Stade de la Meinau,Ivan Eklind,
5/6/1938,Primera ronda,,Checoslovaquia,Holanda,3,0,y,,,Stade Cavee Verte,Lucien Leclerq,
9/6/1938,Primera ronda,,Alemania,Suiza,2,4,,,,Parc des Princes,Ivan Eklind,
9/6/1938,Primera ronda,,Cuba,Rumania,2,1,,,,Stade Chapou,Alfred Birlem,
12/6/1938,Cuartos de final,,Suiza,Hungría,0,2,,,,Stade Victor Boucquey,Rinaldo Barlassina,
12/6/1938,Cuartos de final,,Suecia,Cuba,8,0,,,,Stade du Fort Carre,Augustin Krist,
12/6/1938,Cuartos de final,,Francia,Italia,1,3,,,,Stade Olympique de Colombes,Louis Baert,
12/6/1938,Cuartos de final,,Brasil,Checoslovaquia,1,1,y,,,Parc Lescure,Pal von Hertzka,
14/6/1938,Cuartos de final,,Brasil,Checoslovaquia,2,1,,,,Parc Lescure,George Capdeville,
16/6/1938,Semifinal,,Hungría,Suecia,5,1,,,,Parc des Princes,Lucien Leclerq,
16/6/1938,Semifinal,,Italia,Brasil,2,1,,,,Stade Velodrome,Hans Wuthrich,
19/6/1938,Tercer puesto,,Suecia,Brasil,2,4,,,,Parc Lescure,John Langenus,
19/6/1938,Final,,Hungría,Italia,2,4,,,,Stade Olympique de Colombes,George Capdeville,
