date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
30/5/1962,Primera ronda,1,Uruguay,Colombia,2,1,,,,Estadio Carlos Dittborn,Andor Dorogi,
30/5/1962,Primera ronda,2,Chile,Suiza,3,1,,,,Estadio Nacional Santiago,Kenneth Aston,
30/5/1962,Primera ronda,3,Brasil,México,2,0,,,,Estadio Sausalito,Gottfried Dienst,
30/5/1962,Primera ronda,4,Argentina,Bulgaria,1,0,,,,Estadio El Teniente,Juan Gardeazabal,
31/5/1962,Primera ronda,1,Unión Soviética,Yugoslavia,2,0,,,,Estadio Carlos Dittborn,Albert Dusch,
31/5/1962,Primera ronda,2,Alemania Occidental,Italia,0,0,,,,Estadio Nacional Santiago,Robert Holley Davidson,
31/5/1962,Primera ronda,3,Checoslovaquia,España,1,0,,,,Estadio Sausalito,Carl Erich Steiner,
31/5/1962,Primera ronda,4,Hungría,Inglaterra,2,1,,,,Estadio El Teniente,Leo Horn,
2/6/1962,Primera ronda,1,Yugoslavia,Uruguay,3,1,,,,Estadio Carlos Dittborn,Karol Galba,
2/6/1962,Primera ronda,2,Chile,Italia,2,0,,,,Estadio Nacional Santiago,Kenneth Aston,
2/6/1962,Primera ronda,3,Brasil,Checoslovaquia,0,0,,,,Estadio Sausalito,Pierre Schwinte,
2/6/1962,Primera ronda,4,Inglaterra,Argentina,3,1,,,,Estadio El Teniente,Nikolay Latyshev,
3/6/1962,Primera ronda,1,Unión Soviética,Colombia,4,4,,,,Estadio Carlos Dittborn,Joao Etzel Filho,
3/6/1962,Primera ronda,2,Alemania Occidental,Suiza,2,1,,,,Estadio Nacional Santiago,Leo Horn,
3/6/1962,Primera ronda,3,España,México,1,0,,,,Estadio Sausalito,Branko Tesanic,
3/6/1962,Primera ronda,4,Hungría,Bulgaria,6,1,,,,Estadio El Teniente,Juan Gardeazabal Garay,
6/6/1962,Primera ronda,1,Unión Soviética,Uruguay,2,1,,,,Estadio Carlos Dittborn,Cesare Jonni,
6/6/1962,Primera ronda,2,Alemania Occidental,Chile,2,0,,,,Estadio Nacional Santiago,Robert Holley Davidson,
6/6/1962,Primera ronda,3,Brasil,España,2,1,,,,Estadio Sausalito,Sergio Bustamante,
6/6/1962,Primera ronda,4,Hungría,Argentina,0,0,,,,Estadio El Teniente,Arturo Yamasaki Maldonado,
7/6/1962,Primera ronda,1,Yugoslavia,Colombia,5,0,,,,Estadio Carlos Dittborn,Carlos Robles,
7/6/1962,Primera ronda,2,Italia,Suiza,3,0,,,,Estadio Nacional Santiago,Nikolay Latyshev,
7/6/1962,Primera ronda,3,México,Checoslovaquia,3,1,,,,Estadio Sausalito,Gottfried Dienst,
7/6/1962,Primera ronda,4,Inglaterra,Bulgaria,0,0,,,,Estadio El Teniente,Antoine Blavier,
10/6/1962,Cuartos de final,,Chile,Unión Soviética,2,1,,,,Estadio Carlos Dittborn,Leo Horn,
10/6/1962,Cuartos de final,,Checoslovaquia,Hungría,1,0,,,,Estadio El Teniente,Nikolay Latyshev,
10/6/1962,Cuartos de final,,Brasil,Inglaterra,3,1,,,,Estadio Sausalito,Pierre Schwinte,
10/6/1962,Cuartos de final,,Yugoslavia,Alemania Occidental,1,0,,,,Estadio Nacional Santiago,Arturo Yamasaki Maldonado,
13/6/1962,Semifinal,,Checoslovaquia,Yugoslavia,3,1,,,,Estadio Sausalito,Gottfried Dienst,
13/6/1962,Semifinal,,Brasil,Chile,4,2,,,,Estadio Nacional Santiago,Juan Gardeazabal Garay,
16/6/1962,Tercer puesto,,Chile,Yugoslavia,1,0,,,,Estadio Nacional Santiago,Juan Gardeazabal,
17/6/1962,Final,,Brasil,Checoslovaquia,3,1,,,,Estadio Nacional Santiago,Nikolay Latyshev,
