date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
27/5/1934,Primera ronda,,España,Brasil,3,1,,,,Stadio Luigi Ferraris,Alfred Birlem,
27/5/1934,Primera ronda,,Hungría,Egipto,4,2,,,,Stadio Giorgio Ascarelli,Rinaldo Barlassina,
27/5/1934,Primera ronda,,Suiza,Holanda,3,2,,,,Stadio San Siro,Ivan Eklind,
27/5/1934,Primera ronda,,Italia,Estados Unidos,7,1,,,,Stadio Nazionale PNF,Rene Mercet,
27/5/1934,Primera ronda,,Checoslovaquia,Rumania,2,1,,,,Stadio Littorio,John Langenus,
27/5/1934,Primera ronda,,Suecia,Argentina,3,2,,,,Stadio Littoriale,Eugen Braun,
27/5/1934,Primera ronda,,Austria, Francia,3,2,y,,,Stadio Benito Mussolini,Johannes van Moorsel,
27/5/1934,Primera ronda,,Alemania,Bélgica,5,2,,,,Giovanni Berta,Franciasco Mattea,
31/5/1934,Cuartos de final,,Austria,Hungría,2,1,,,,Stadio Littoriale,Franciasco Mattea,
31/5/1934,Cuartos de final,,Italia,España,1,1,y,,,Stadio Giovanni Berta,Louis Baert,
31/5/1934,Cuartos de final,,Alemania,Suecia,2,1,,,,Stadio San Siro,Rinaldo Barlassina,
31/5/1934,Cuartos de final,,Checoslovaquia,Suiza,3,2,,,,Stadio Benito Mussolini,Alois Beranek,
1/6/1934,Cuartos de final,,Italia,España,1,0,,,,Stadio Giovanni Berta,Rene Mercet, (rematch)
3/6/1934,Semifinal,Italia,,Austria,1,0,,,,Stadio San Siro,Ivan Eklind,
3/6/1934,Semifinal,,Checoslovaquia,Alemania,3,1,,,,Stadio Nazionale PNF,Rinaldo Barlassina,
7/6/1934,Tercer puesto,,Alemania,Austria,3,2,,,,Stadio Giorgio Ascarelli,Albino Carraro,
10/6/1934,Final,,Italia,Checoslovaquia,2,1,y,,,Stadio Nazionale PNF,Ivan Eklind,
