date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
13/6/1974,Primera ronda,2,Brasil,Yugoslavia,0,0,,,,Frankfurt Waldstadion,,
14/6/1974,Primera ronda,1,Alemania Occidental,Chile,1,0,,,,Olympiastadion,,
14/6/1974,Primera ronda,1,Alemania Oriental,Australia,2,0,,,,Volksparkstadion,,
14/6/1974,Primera ronda,2,Zaire,Escocia,0,2,,,,Westfalenstadion,,
15/6/1974,Primera ronda,3,Uruguay,Holanda,0,2,,,,Niedersachsenstadion,,
15/6/1974,Primera ronda,3,Suecia,Bulgaria,0,0,,,,Rheinstadion,,
15/6/1974,Primera ronda,4,Italia,Haití,3,1,,,,Olympiastadion,,
15/6/1974,Primera ronda,4,Polonia,Argentina,3,2,,,,Neckarstadion,,
18/6/1974,Primera ronda,1,Australia,Alemania Occidental,0,3,,,,Volksparkstadion,,
18/6/1974,Primera ronda,2,Escocia,Brasil,0,0,,,,Frankfurt Waldstadion,,
18/6/1974,Primera ronda,1,Chile,Alemania Oriental,1,1,,,,Olympiastadion,,
18/6/1974,Primera ronda,2,Yugoslavia,Zaire,9,0,,,,Parkstadion,
19/6/1974,Primera ronda,3,Holanda,Suecia,0,0,,,,Westfalenstadion,,
19/6/1974,Primera ronda,3,Bulgaria,Uruguay,1,1,,,,Niedersachsenstadion,,
19/6/1974,Primera ronda,4,Haití,Polonia,0,7,,,,Olympiastadion,,
19/6/1974,Primera ronda,4,Argentina,Italia,1,1,,,,Neckarstadion,,
22/6/1974,Primera ronda,2,Escocia,Yugoslavia,1,1,,,,Frankfurt Waldstadion,,
22/6/1974,Primera ronda,1,Australia,Chile,0,0,,,,Olympiastadion,,
22/6/1974,Primera ronda,2,Zaire,Brasil,0,3,,,,Parkstadion,
22/6/1974,Primera ronda,1,Alemania Oriental,Alemania Occidental,1,0,,,,Volksparkstadion,,
23/6/1974,Primera ronda,3,Bulgaria,Holanda,1,4,,,,Westfalenstadion,,
23/6/1974,Primera ronda,4,Argentina,Haití,4,1,,,,Olympiastadion,,
23/6/1974,Primera ronda,3,Suecia,Uruguay,3,0,,,,Rheinstadion,,
23/6/1974,Primera ronda,4,Polonia,Italia,2,1,,,,Neckarstadion,,
26/6/1974,Segunda ronda,A,Holanda,Argentina,4,0,,,,Parkstadion,Bob Davidson,
26/6/1974,Segunda ronda,A,Brasil,Alemania Oriental,1,0,,,,Niedersachsenstadion,Clive Thomas,
26/6/1974,Segunda ronda,B,Yugoslavia,Alemania Occidental,0,2,,,,Rheinstadion,Armando Marques,
26/6/1974,Segunda ronda,B,Suecia,Polonia,0,1,,,,Neckarstadion,Ramon Barreto,
30/6/1974,Segunda ronda,A,Argentina,Brasil,1,2,,,,Niedersachsenstadion,Vital Loraux,
30/6/1974,Segunda ronda,A,Alemania Oriental,Holanda,0,2,,,,Parkstadion,Rudolf Scheurer,
30/6/1974,Segunda ronda,B,Polonia,Yugoslavia,2,1,,,,Frankfurt Waldstadion,Rudi Glockner,
30/6/1974,Segunda ronda,B,Alemania Occidental,Suecia,4,2,,,,Rheinstadion,Pavel Kazakov,
3/7/1974,Segunda ronda,A,Argentina,Alemania Oriental,1,1,,,,Parkstadion,Jack Taylor,
3/7/1974,Segunda ronda,A,Holanda,Brasil,2,0,,,,Westfalenstadion,Kurt Tschenscher,
3/7/1974,Segunda ronda,B,Polonia,Alemania Occidental,0,1,,,,Frankfurt Waldstadion,Erich Linemayr,
3/7/1974,Segunda ronda,B,Suecia,Yugoslavia,2,1,,,,Rheinstadion,Luis Pestarino,
6/7/1974,Tercer puesto,,Brasil,Polonia,0,1,,,,Olympiastadion,Aurelio Angonese,
7/7/1974,Final,,Holanda,Alemania Occidental,1,2,,,,Olympiastadion,Jack Taylor,
