date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
16/6/1954,Primera ronda,1,Brasil,México,5,0,,,,Charmilles Stadium,Raymon Wyssling,
16/6/1954,Primera ronda,1,Yugoslavia,Francia,1,0,,,,Stade Olympique de la Pontaise,Benjamin Griffiths,
16/6/1954,Primera ronda,3,Uruguay,Checoslovaquia,2,0,,,,Wankdorf Stadium,Ellis,
16/6/1954,Primera ronda,3,Austria,Escocia,1,0,,,,Hardturm Stadium,Laurent Franken,
17/6/1954,Primera ronda,2,Alemania Occidental,Turquía,4,1,,,,Wankdorf Stadium,Jose da Costa Vieira,
17/6/1954,Primera ronda,2,Hungría,Corea del Sur,9,0,,,,Hardturm Stadium,Raymond Vincenti,
17/6/1954,Primera ronda,4,Suiza,Italia,2,1,,,,Stade Olympique de la Pontaise,Mario Vianna,
17/6/1954,Primera ronda,4,Inglaterra,Bélgica,4,4,y,,,St. Jakob Stadium,Emil Schmetzer,
19/6/1954,Primera ronda,1,Brasil,Yugoslavia,1,1,y,,,Stade Olympique de la Pontaise,Charlie Faultless,
19/6/1954,Primera ronda,1,Francia,México,3,2,,,,Charmilles Stadium,Manuel Asensi,
19/6/1954,Primera ronda,3,Uruguay,Escocia,7,0,,,,St. Jakob Stadium,Vincenzo Orlandini,
19/6/1954,Primera ronda,3,Austria,Checoslovaquia,5,0,,,,Hardturm Stadium,Vasa Stefanovic,
20/6/1954,Primera ronda,2,Hungría,Alemania Occidental,8,3,,,,St. Jakob Stadium,Ling,
20/6/1954,Primera ronda,2,Turquía,Corea del Sur,7,0,,,,Charmilles Stadium,Esteban Marino,
20/6/1954,Primera ronda,4,Italia,Bélgica,4,1,,,,Cornaredo Stadium,Carl Erich Steiner,
20/6/1954,Primera ronda,4,Inglaterra,Suiza,2,0,,,,Wankdorf Stadium,Istvan Zsolt,
23/6/1954,Primera ronda,2,Alemania Occidental,Turquía,7,2,,,,Hardturm Stadium,Raymond Vincenti,playoff
23/6/1954,Primera ronda,4,Suiza,Italia,4,1,,,,St. Jakob Stadium,Benjamin Griffiths,playoff
26/6/1954,Cuartos de final,,Austria,Suiza,7,5,,,,Stade Olympique de la Pontaise,Charlie Faultless,
26/6/1954,Cuartos de final,,Uruguay,Inglaterra,4,2,,,,St. Jakob Stadium,Carl Erich Steiner,
27/6/1954,Cuartos de final,,Brasil,Hungría,2,4,,,,Wankdorf Stadium,Arthur Edward Ellis,
27/6/1954,Cuartos de final,,Yugoslavia,Alemania Occidental,0,2,,,,Charmilles Stadium,Istan Zsolt,
30/6/1954,Semifinal,,Hungría,Uruguay,4,2,y,,,Stade Olympique de la Pontaise,Benjamin Griffiths,
30/6/1954,Semifinal,,Alemania Occidental,Austria,6,1,,,,St. Jakob Stadium,Vincenzo Orlandini,
3/7/1954,Tercer puesto,,Uruguay,Austria,1,3,,,,Hardturm Stadium,Raymon Wyssling,
4/7/1954,Final,,Hungría,Alemania Occidental,2,3,,,,Wankdorf Stadium,William Ling,
