date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
12/6/1986,Fase de grupos,D,Irlanda del Norte,Brasil,0,3,,,,Estadio Jalisco,Siegfried Kirschen,
12/6/1986,Fase de grupos,D,Argelia,España,0,3,,,,Estadio Tecnologico,Shizuo Takada,
13/6/1986,Fase de grupos,E,Dinamarca,Alemania Occidental,2,0,,,,Estadio La Corregidora,Alexis Ponnet,
13/6/1986,Fase de grupos,E,Escocia,Uruguay,0,0,,,,Estadio Neza 86,Joel Quiniou,
15/6/1986,Octavos de final,,México,Bulgaria,2,0,,,,Estadio Azteca,Romualdo Arppi Filho,
15/6/1986,Octavos de final,,Unión Soviética,Bélgica,3,4,y,,,Estadio Nou Camp Leon,Erik Fredriksson,
16/6/1986,Octavos de final,,Brasil,Polonia,4,0,,,,Estadio Jalisco,Volker Roth,
16/6/1986,Octavos de final,,Argentina,Uruguay,1,0,,,,Estadio Cuauhtemoc,Luigi Agnolin,
17/6/1986,Octavos de final,,Italia,Francia,0,2,,,,Estadio Olimpico Universitario,,
17/6/1986,Octavos de final,,Marruecos,Alemania Occidental,0,1,,,,Estadio Universitario Monterrey,,
18/6/1986,Octavos de final,,Inglaterra,Paraguay,3,0,,,,Estadio Azteca,Jamal Al Sharif,
18/6/1986,Octavos de final,,Dinamarca,España,1,5,,,,Estadio La Corregidora,Jan Keizer,
21/6/1986,Cuartos de final,,Brasil,Francia,1,1,y,3,4,Estadio Jalisco,Ioan Igna,
21/6/1986,Cuartos de final,,Alemania Occidental,México,0,0,y,4,1,Estadio Universitario Monterrey,Jesus Diaz,
22/6/1986,Cuartos de final,,Argentina,Inglaterra,2,1,,,,Estadio Azteca,Ali Bin Nasser,
22/6/1986,Cuartos de final,,España,Bélgica,1,1,y,4,5,Estadio Cuauhtemoc,Siegfried Kirschen,
25/6/1986,Semifinal,,Francia,Alemania Occidental,0,2,,,,Estadio Jalisco,Luigi Agnolin,
25/6/1986,Semifinal,,Argentina,Bélgica,2,0,,,,Estadio Azteca,Antonio Marquez Ramirez,
28/6/1986,Tercer puesto,,Francia,Bélgica,4,2,y,,,Estadio Cuauhtemoc,George Courtney,
29/6/1986,Final,,Argentina,Alemania Occidental,3,2,,,,Estadio Azteca,Romualdo Arppi Filho,
