date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
31/5/1986,Fase de grupos,A,Bulgaria,Italia,1,1,,,,Estadio Azteca,Erik Fredriksson,
1/6/1986,Fase de grupos,C,Canadá,Francia,0,1,,,,Estadio Nou Camp Leon,Hernan Silva,
1/6/1986,Fase de grupos,D,España,Brasil,0,1,,,,Estadio Jalisco,Chris Bambridge,
2/6/1986,Fase de grupos,A,Argentina,Corea del Sur,3,1,,,,Estadio Olimpico Universitario,Victoriano Sanchez Arminio,
2/6/1986,Fase de grupos,C,Unión Soviética,Hungría,6,0,,,,Estadio Sergio Leon Chavez,Luigi Agnolin,
2/6/1986,Fase de grupos,F,Marruecos,Polonia,0,0,,,,Estadio Universitario Monterrey,Jose Luis Martinez Bazan,
3/6/1986,Fase de grupos,B,Bélgica,México,1,2,,,,Estadio Azteca,Carlos Esposito,
3/6/1986,Fase de grupos,D,Argelia,Irlanda del Norte,1,1,,,,Estadio Tres de Marzo,Valeri Butenko,
3/6/1986,Fase de grupos,F,Portugal,Inglaterra,1,0,,,,Estadio Tecnologico,Volker Roth,
4/6/1986,Fase de grupos,B,Paraguay,Iraq,1,0,,,,Estadio Nemesio Diez,Edwin Picon-Ackong,
4/6/1986,Fase de grupos,E,Uruguay,Alemania Occidental,1,1,,,,Estadio La Corregidora,Vojtech Christov,
4/6/1986,Fase de grupos,E,Escocia,Dinamarca,0,1,,,,Estadio Neza 86,Lajos Nemeth,
5/6/1986,Fase de grupos,A,Italia,Argentina,1,1,,,,Estadio Cuauhtemoc,Jan Keizer,
5/6/1986,Fase de grupos,A,Corea del Sur,Bulgaria,1,1,,,,Estadio Olimpico Universitario,Fallaj Al Shanar,
5/6/1986,Fase de grupos,C,Francia,Unión Soviética,1,1,,,,Estadio Nou Camp, Leon,Romualdo Arppi Filho,
6/6/1986,Fase de grupos,C,Hungría,Canadá,2,0,,,,Estadio Sergio Leon Chavez,Jamal Al Sharif,
6/6/1986,Fase de grupos,D,Brasil,Argelia,1,0,,,,Estadio Jalisco,Romulo Mendez,
6/6/1986,Fase de grupos,F,Inglaterra,Marruecos,0,0,,,,Estadio Tecnologico,Gabriel Gonzalez,
7/6/1986,Fase de grupos,B,México,Paraguay,1,1,,,,Estadio Azteca,George Courtney,
7/6/1986,Fase de grupos,D,Irlanda del Norte,España,1,2,,,,Estadio Tres de Marzo,Horst Brummeier,
7/6/1986,Fase de grupos,F,Polonia,Portugal,1,0,,,,Estadio Universitario Monterrey,Ali Bin Nassar,
8/6/1986,Fase de grupos,B,Iraq,Bélgica,1,2,,,,Estadio Nemesio Diez,Jesus Diaz,
8/6/1986,Fase de grupos,E,Alemania Occidental,Escocia,2,1,,,,Estadio La Corregidora,Ioan Igna,
8/6/1986,Fase de grupos,E,Dinamarca,Uruguay,6,1,,,,Estadio Neza 86,Antonio Marquez Ramirez,
9/6/1986,Fase de grupos,C,Hungría,Francia,0,3,,,,Estadio Nou Camp Leon,Carlos Silva Valente,
9/6/1986,Fase de grupos,C,Unión Soviética,Canadá,2,0,,,,Estadio Sergio Leon Chavez,Idriss Traore,
10/6/1986,Fase de grupos,A,Corea del Sur,Italia,2,3,,,,Estadio Cuauhtemoc,David Socha,
10/6/1986,Fase de grupos,A,Argentina,Bulgaria,2,0,,,,Estadio Olimpico Universitario,Berny Ulloa Morera,
11/6/1986,Fase de grupos,B,Paraguay,Bélgica,2,2,,,,Estadio Nemesio Diez,Bogdan Dotchev,
11/6/1986,Fase de grupos,B,Iraq,México,0,1,,,,Estadio Azteca,Zoran Petrovic,
11/6/1986,Fase de grupos,F,Inglaterra,Polonia,3,0,,,,Estadio Universitario Monterrey,Andre Daina,
11/6/1986,Fase de grupos,F,Portugal,Marruecos,1,3,,,,Estadio Tres de Marzo,Alan Snoddy,
