date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
24/6/1998,Fase de grupos,D,Nigeria,Paraguay,1,3,,,,Stade de Toulouse,Pirom Un-Prasert,
24/6/1998,Fase de grupos,D,España,Bulgaria,6,1,,,,Stade Felix-Bollaert,Mario van der Ende,
25/6/1998,Fase de grupos,E,Holanda,México,2,2,,,,Stade Geoffroy-Guichard,Abdul Rahman Al-Zeid,
25/6/1998,Fase de grupos,E,Bélgica,Corea del Sur,1,1,,,,Parc des Princes,Marcio Rezende de Freitas,
25/6/1998,Fase de grupos,F,Estados Unidos,Yugoslavia,0,1,,,,Stade de la Beaujoire,Gamal Al-Ghandour,
25/6/1998,Fase de grupos,F,Alemania,Irán,2,0,,,,Stade de la Mosson,Epifanio Gonzalez,
26/6/1998,Fase de grupos,G,Inglaterra,Colombia,0,2,,,,Stade Felix-Bollaert,Arturo Brizio Carter,
26/6/1998,Fase de grupos,G,Rumania,Túnez,1,1,,,,Stade de Francia,Edward Lennie,
26/6/1998,Fase de grupos,H,Argentina,Croacia,1,0,,,,Parc Lescure,Said Belqola,
26/6/1998,Fase de grupos,H,Japón,Jamaica,1,2,,,,Stade Gerland,Gunter Benko,
27/6/1998,Octavos de final,,Italia,Noruega,1,0,,,,Stade Velodrome,Bernd Heynemann,
27/6/1998,Octavos de final,,Brasil,Chile,4,1,,,,Parc des Princes,Marc Batta,
28/6/1998,Octavos de final,,Francia,Paraguay,1,0,y,,,Stade Felix-Bollaert,Ali Bujsaim,
28/6/1998,Octavos de final,,Nigeria,Dinamarca,1,4,,,,Stade de Francia,Urs Meier,
29/6/1998,Octavos de final,,Alemania,México,2,1,,,,Stade de la Mosson,Vitor Melo Pereira,
29/6/1998,Octavos de final,,Holanda,Yugoslavia,2,1,,,,Stade de Toulouse,Jose Garcia Aranda,
30/6/1998,Octavos de final,,Rumania,Croacia,0,1,,,,Parc Lescure,Javier Castrilli,
30/6/1998,Octavos de final,,Argentina,Inglaterra,2,2,y,4,3,Stade Geoffroy-Guichard,Kim Milton Nielsen,
3/7/1998,Cuartos de final,,Italia,Francia,0,0,y,3,4,Stade de Francia,Hugh Dallas,
3/7/1998,Cuartos de final,,Brasil,Dinamarca,3,2,,,,Stade de la Beaujoire,Gamal Al-Ghandour,
4/7/1998,Cuartos de final,,Holanda,Argentina,2,1,,,,Stade Velodrome,Arturo Brizio Carter,
4/7/1998,Cuartos de final,,Alemania,Croacia,0,3,,,,Stade de Gerland,Rune Pedersen,
7/7/1998,Semifinal,,Brasil,Holanda,1,1,y,4,2,Stade Velodrome,Ali Bujsaim,
8/7/1998,Semifinal,,Francia,Croacia,2,1,,,,Stade de Francia,Jose Garcia Aranda,
11/7/1998,Tercer puesto,,Holanda,Croacia,1,2,,,,Parc des Princes,Epifanio Gonzalez,
12/7/1998,Final,,Brasil,Francia,0,3,,,,Stade de Francia,Said Belqola,
