date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
10/6/1998,Fase de grupos,A,Brasil,Escocia,2,1,,,,Stade de Francia,Jose Garia Aranda,
10/6/1998,Fase de grupos,A,Marruecos,Noruega,2,2,,,,Stade de la Mosson,Pirom Un-Prasert,
11/6/1998,Fase de grupos,B,Italia,Chile,2,2,,,,Parc Lescure,Lucien Bouchardeau,
11/6/1998,Fase de grupos,B,Camerún,Austria,1,1,,,,Stade de Toulouse,Epifanio Gonzalez,
12/6/1998,Fase de grupos,C,Arabia Saudita,Dinamarca,0,1,,,,Stade Felix Bollaert,Javier Castrilli,
12/6/1998,Fase de grupos,C,Francia,Sudáfrica,3,0,,,,Stade Velodrome,Marcio Rezende de Freitas,
12/6/1998,Fase de grupos,D,Paraguay,Bulgaria,0,0,,,,Stade de la Mosson,Abdul Rahman Al-Zeid,
13/6/1998,Fase de grupos,D,España,Nigeria,2,3,,,,Stade de la Beaujoire,Esfandiar Baharmast,
13/6/1998,Fase de grupos,E,Corea del Sur,México,1,3,,,,Stade de Gerland,Gunter Benko,
13/6/1998,Fase de grupos,E,Holanda,Bélgica,0,0,,,,Stade de Francia,Pierluigi Collina,
14/6/1998,Fase de grupos,F,Yugoslavia,Irán,1,0,,,,Stade Geoffroy-Guichard,Alberto Tejada,
14/6/1998,Fase de grupos,H,Argentina,Japón,1,0,,,,Stade de Toulouse,Mario van der Ende,
14/6/1998,Fase de grupos,H,Jamaica,Croacia,1,3,,,,Stade Felix-Bollaert,Vitor Melo Pereira,
15/6/1998,Fase de grupos,F,Alemania,Estados Unidos,2,0,,,,Parc des Princes,Said Belqola,
15/6/1998,Fase de grupos,G,Inglaterra,Túnez,2,0,,,,Stade Velodrome,Masayoshi Okada,
15/6/1998,Fase de grupos,G,Rumania,Colombia,1,0,,,,Stade de Gerland,Lim Kee Chong,
16/6/1998,Fase de grupos,A,Escocia,Noruega,1,1,,,,Parc Lescure,Laszlo Vagner,
16/6/1998,Fase de grupos,A,Brasil,Marruecos,3,0,,,,Stade de la Beaujoire,Nikolai Levnikov,
17/6/1998,Fase de grupos,B,Chile,Austria,1,1,,,,Stade Geoffroy-Guichard,Gamal Al-Ghandour,
17/6/1998,Fase de grupos,B,Italia,Camerún,3,0,,,,Stade de la Mosson,Edward Lennie,
18/6/1998,Fase de grupos,C,Sudáfrica,Dinamarca,1,1,,,,Stade de Toulouse,John Toro Rendon,
18/6/1998,Fase de grupos,C,Francia,Arabia Saudita,4,0,,,,Stade de Francia,Arturo Brizio Carter,
19/6/1998,Fase de grupos,D,Nigeria,Bulgaria,1,0,,,,Parc des Princes,Mario Sanchez Yanten,
19/6/1998,Fase de grupos,D,España,Paraguay,0,0,,,,Stade Geoffroy-Guichard,Ian McLeod,
20/6/1998,Fase de grupos,E,Bélgica,México,2,2,,,,Parc Lescure,Hugh Dallas,
20/6/1998,Fase de grupos,E,Holanda,Corea del Sur,5,0,,,,Stade Velodrome,Ryszard Wojcik,
20/6/1998,Fase de grupos,H,Japón,Croacia,0,1,,,,Stade de la Beaujoire,Ramesh Ramdhan,
21/6/1998,Fase de grupos,F,Alemania,Yugoslavia,2,2,,,,Stade Felix-Bollaert,Kim Milton Nielsen,
21/6/1998,Fase de grupos,F,Estados Unidos,Irán,1,2,,,,Stade de Gerland,Urs Meier,
21/6/1998,Fase de grupos,H,Argentina,Jamaica,5,0,,,,Parc des Princes,Rune Pedersen,
22/6/1998,Fase de grupos,G,Colombia,Túnez,1,0,,,,Stade de la Mosson,Bernd Heynemann,
22/6/1998,Fase de grupos,G,Rumania,Inglaterra,2,1,,,,Stade de Toulouse,Marc Batta,
23/6/1998,Fase de grupos,A,Brasil,Noruega,1,2,,,,Stade Velodrome,Esfandiar Baharmast,
23/6/1998,Fase de grupos,A,Escocia,Marruecos,0,3,,,,Stade Geoffroy-Guichard,Ali Bujsaim,
23/6/1998,Fase de grupos,B,Italia,Austria,2,1,,,,Stade de Francia,Paul Durkin,
23/6/1998,Fase de grupos,B,Chile,Camerún,1,1,,,,Stade de la Beaujoire,Laszlo Vagner,
24/6/1998,Fase de grupos,C,Francia,Dinamarca,2,1,,,,Stade Gerland,Pierluigi Collina,
24/6/1998,Fase de grupos,C,Sudáfrica,Arabia Saudita,2,2,,,,Parc Lescure,Mario Sanchez,
