date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
17/6/1994,Fase de grupos,C,Alemania,Bolivia,1,0,,,,Soldier Field,Arturo Brizio Carter,
17/6/1994,Fase de grupos,C,España,Corea del Sur,2,2,,,,Cotton Bowl,Peter Mikkelsen,
18/6/1994,Fase de grupos,A,Estados Unidos,Suiza,1,1,,,,Pontiac Silverdome,Francisco Oscar Lamolina,
18/6/1994,Fase de grupos,A,Colombia,Rumania,1,3,,,,Rose Bowl,Jamal Al Sharif,
18/6/1994,Fase de grupos,E,Italia,República de Irlanda,0,1,,,,Giants Stadium,Mario van der Ende,
19/6/1994,Fase de grupos,B,Camerún,Suecia,2,2,,,,Rose Bowl,Alberto Tejada Noriega,
19/6/1994,Fase de grupos,E,Noruega,México,1,0,,,,RFK Stadium,Sandor Puhl,
19/6/1994,Fase de grupos,F,Bélgica,Marruecos,1,0,,,,Citrus Bowl,Jose Torres Cadena,
20/6/1994,Fase de grupos,B,Brasil,Rusia,2,0,,,,Stanford Stadium,Lim Kee Chong,
20/6/1994,Fase de grupos,F,Holanda,Arabia Saudita,2,1,,,,RFK Stadium,Manuel Diaz Vega,
21/6/1994,Fase de grupos,C,Alemania,España,1,1,,,,Soldier Field,Filippi Cavani,
21/6/1994,Fase de grupos,D,Argentina,Grecia,4,0,,,,Foxboro Stadium,Arturo Angeles,
21/6/1994,Fase de grupos,D,Nigeria,Bulgaria,3,0,,,,Cotton Bowl,Rodrigo Badilla,
22/6/1994,Fase de grupos,A,Rumania,Suiza,1,4,,,,Pontiac Silverdome,Neji Jouini,
22/6/1994,Fase de grupos,A,Estados Unidos,Colombia,2,1,,,,Rose Bowl,Fabio Baldas,
23/6/1994,Fase de grupos,C,Corea del Sur,Bolivia,0,0,,,,Foxboro Stadium,Leslie Mottram,
23/6/1994,Fase de grupos,E,Italia,Noruega,1,0,,,,Giants Stadium,Helmut Krug,
24/6/1994,Fase de grupos,B,Brasil,Camerún,3,0,,,,Stanford Stadium,Arturo Brizio Carter,
24/6/1994,Fase de grupos,B,Suecia,Rusia,2,1,,,,Pontiac Silverdome,Joel Quiniou,
24/6/1994,Fase de grupos,E,México,República de Irlanda,2,1,,,,Citrus Bowl,Kurt Rothlisberger,
25/6/1994,Fase de grupos,D,Argentina,Nigeria,2,1,,,,Foxboro Stadium,Bo Karlsson,
25/6/1994,Fase de grupos,F,Arabia Saudita,Marruecos,2,1,,,,Giants Stadium,Philip Don,
25/6/1994,Fase de grupos,F,Bélgica,Holanda,1,0,,,,Citrus Bowl,Renato Marsiglia,
26/6/1994,Fase de grupos,A,Suiza,Colombia,0,2,,,,Stanford Stadium,Peter Mikkelsen,
26/6/1994,Fase de grupos,A,Estados Unidos,Rumania,0,1,,,,Rose Bowl,Mario van der Ende,
26/6/1994,Fase de grupos,D,Bulgaria,Grecia,4,0,,,,Soldier Field,Ali Bujsaim,
27/6/1994,Fase de grupos,C,Bolivia,España,1,3,,,,Soldier Field,Rodrigo Badilla,
27/6/1994,Fase de grupos,C,Alemania,Corea del Sur,3,2,,,,Cotton Bowl,Joel Quiniou,
28/6/1994,Fase de grupos,B,Rusia,Camerún,6,1,,,,Stanford Stadium,Jamal Al Sharif,
28/6/1994,Fase de grupos,B,Brasil,Suecia,1,1,,,,Pontiac Silverdome,Sandor Puhl,
28/6/1994,Fase de grupos,E,Italia,México,1,1,,,,RFK Stadium,Francisco Oscar Lamolina,
28/6/1994,Fase de grupos,E,República de Irlanda,Noruega,0,0,,,,Giants Stadium,Jose Torres Cadena,
29/6/1994,Fase de grupos,F,Bélgica,Arabia Saudita,0,1,,,,RFK Stadium,Helmut Krug,
29/6/1994,Fase de grupos,F,Marruecos,Holanda,1,2,,,,Citrus Bowl,Alberto Tejada Noriega,
30/6/1994,Fase de grupos,D,Argentina,Bulgaria,0,2,,,,Cotton Bowl,Neji Jouini,
30/6/1994,Fase de grupos,D,Grecia,Nigeria,0,2,,,,Foxboro Stadium,Leslie Mottram,
2/7/1994,Octavos de final,,Alemania,Bélgica,3,2,,,,Soldier Field,Kurt Rothlisberger,
2/7/1994,Octavos de final,,España,Suiza,3,0,,,,RFK Stadium,Mario van der Ende,
3/7/1994,Octavos de final,,Arabia Saudita,Suecia,1,3,,,,Cotton Bowl,Renato Marsiglia,
3/7/1994,Octavos de final,,Rumania,Argentina,3,2,,,,Rose Bowl,Pierluigi Pairetto,
4/7/1994,Octavos de final,,Holanda,República de Irlanda,2,0,,,,Citrus Bowl,Peter Mikkelsen,
4/7/1994,Octavos de final,,Brasil,Estados Unidos,1,0,,,,Stanford Stadium,Joel Quiniou,
5/7/1994,Octavos de final,,Nigeria,Italia,1,2,y,,,Foxboro Stadium,Arturo Brizio Carter,
5/7/1994,Octavos de final,,México,Bulgaria,1,1,y,1,3,Giants Stadium,Jamal Al Sharif,
9/7/1994,Cuartos de final,,Italia,España,2,1,,,,Foxboro Stadium,Sandor Puhl,
9/7/1994,Cuartos de final,,Holanda,Brasil,2,3,,,,Cotton Bowl,Rodrigo Badilla,
10/7/1994,Cuartos de final,,Bulgaria,Alemania,2,1,,,,Giants Stadium,Jose Torres Cadena,
10/7/1994,Cuartos de final,,Rumania,Suecia,2,2,y,4,5,Stanford Stadium,Philip Don,
13/7/1994,Semifinal,,Bulgaria,Italia,1,2,,,,Giants Stadium,Joel Quiniou,
13/7/1994,Semifinal,,Suecia,Brasil,0,1,,,,Rose Bowl,Jose Torres Cadena,
16/7/1994,Tercer puesto,,Suecia,Bulgaria,4,0,,,,Rose Bowl,Ali Bujsaim,
17/7/1994,Final,,Brasil,Italia,0,0,y,3,2,Rose Bowl,Sandor Puhl,
