date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
13/6/1982,Primera ronda,3,Argentina,Bélgica,0,1,,,,Camp Nou,Vojtech Christov,
14/6/1982,Primera ronda,1,Italia,Polonia,0,0,,,,Balaidos,Michel Vautrot,
14/6/1982,Primera ronda,6,Brasil,Unión Soviética,2,1,,,,Estadio Ramon Sanchez Pizjuan,Augusto Lamo Castillo,
15/6/1982,Primera ronda,1,Perú,Camerún,0,0,,,,Estadio de Riazor,Franz Wohrer,
15/6/1982,Primera ronda,3,Hungría,El Salvador,10,1,,,,Nuevo Estadio, Elche,Ibrahim Youssef Al-Doy,
15/6/1982,Primera ronda,6,Escocia,Nueva Zelanda,5,2,,,,Estadio La Rosaleda,David Socha,
16/6/1982,Primera ronda,2,Alemania Occidental,Argelia,1,2,,,,El Molinon,Enrique Labo Revoredo,
16/6/1982,Primera ronda,4,Inglaterra,Francia,3,1,,,,Estadio San Mames,Antonio Garrido,
16/6/1982,Primera ronda,5,España,Honduras,1,1,,,,Estadio Luis Casanova,Arturo Ithurralde,
17/6/1982,Primera ronda,2,Chile,Austria,0,1,,,,Estadio Carlos Tartiere,Juan Daniel Cardellino,
17/6/1982,Primera ronda,4,Checoslovaquia,Kuwait,1,1,,,,Estadio Jose Zorrilla,Benjamin Dwomoh,
17/6/1982,Primera ronda,5,Yugoslavia,Irlanda del Norte,0,0,,,,La Romareda,Erik Fredriksson,
18/6/1982,Primera ronda,1,Italia,Perú,1,1,,,,Balaidos,Walter Eschweiler,
18/6/1982,Primera ronda,3,Argentina,Hungría,4,1,,,,Estadio Jose Rico Perez,Belaid Lacarne,
18/6/1982,Primera ronda,6,Brasil,Escocia,4,1,,,,Estadio Benito Villamarin,Luis Paulino Siles,
19/6/1982,Primera ronda,1,Polonia,Camerún,0,0,,,,Estadio de Riazor,Alexis Ponnet,
19/6/1982,Primera ronda,3,Bélgica,El Salvador,1,0,,,,Nuevo Estadio, Elche,Malcolm Moffatt ,
19/6/1982,Primera ronda,6,Unión Soviética,Nueva Zelanda,3,0,,,,Estadio La Rosaleda,Yousef El-Ghoul,
20/6/1982,Primera ronda,2,Alemania Occidental,Chile,4,1,,,,El Molinon,Bruno Galler,
20/6/1982,Primera ronda,4,Inglaterra,Checoslovaquia,2,0,,,,Estadio San Mames,Charles Corver,
20/6/1982,Primera ronda,5,España,Yugoslavia,2,1,,,,Estadio Luis Casanova,Henning Lund-Sorensen,
21/6/1982,Primera ronda,2,Argelia,Austria,0,2,,,,Estadio Carlos Tartiere,Tony Boskovic,
21/6/1982,Primera ronda,4,Francia,Kuwait,4,1,,,,Estadio Jose Zorrilla,Miroslav Stupar,
21/6/1982,Primera ronda,5,Honduras,Irlanda del Norte,1,1,,,,La Romareda,Chan Tam Sun,
22/6/1982,Primera ronda,1,Polonia,Perú,5,1,,,,Estadio de Riazor,Mario Rubio Vazquez,
22/6/1982,Primera ronda,3,Bélgica,Hungría,1,1,,,,Nuevo Estadio, Elche,Clive White,
22/6/1982,Primera ronda,6,Unión Soviética,Escocia,2,2,,,,Estadio La Rosaleda,Nicolae Rainea,
23/6/1982,Primera ronda,1,Italia,Camerún,1,1,,,,Balaidos,Bogdan Dotchev,
23/6/1982,Primera ronda,3,Argentina,El Salvador,2,0,,,,Estadio Jose Rico Perez,Luis Barrancos,
23/6/1982,Primera ronda,6,Brasil,Nueva Zelanda,4,0,,,,Estadio Benito Villamarin,Damir Matovinovic,
24/6/1982,Primera ronda,2,Argelia,Chile,3,2,,,,Estadio Carlos Tartiere,Romulo Mendez,
24/6/1982,Primera ronda,4,Francia,Checoslovaquia,1,1,,,,Estadio Jose Zorrilla,Paolo Casarin,
24/6/1982,Primera ronda,5,Honduras,Yugoslavia,0,1,,,,La Romareda,Gaston Castro,
25/6/1982,Primera ronda,2,Alemania Occidental,Austria,1,0,,,,El Molinon,Bob Valentine,
25/6/1982,Primera ronda,4,Inglaterra,Kuwait,1,0,,,,Estadio San Mames,Gilberto Aristizabal,
25/6/1982,Primera ronda,5,España,Irlanda del Norte,0,1,,,,Estadio Luis Casanova,Hector Ortiz,
28/6/1982,Segunda ronda,A,Polonia,Bélgica,3,0,,,,Camp Nou,Luis Paulino Siles,
29/6/1982,Segunda ronda,B,Alemania Occidental,Inglaterra,0,0,,,,Estadio Santiago Bernabeu,Arnaldo Cezar Coelho,
28/6/1982,Segunda ronda,D,Austria,Francia,0,1,,,,Estadio Vicente Calderon,Karoly Palotai,
29/6/1982,Segunda ronda,C,Italia,Argentina,2,1,,,,Estadio Sarria,Nicolae Rainea,
1/7/1982,Segunda ronda,A,Bélgica,Unión Soviética,0,1,,,,Camp Nou,Michel Vautrot,
1/7/1982,Segunda ronda,D,Austria,Irlanda del Norte,2,2,,,,Estadio Vicente Calderon,Adolf Prokop,
2/7/1982,Segunda ronda,B,Alemania Occidental,España,2,1,,,,Estadio Santiago Bernabeu,Paolo Casarin,
2/7/1982,Segunda ronda,C,Argentina,Brasil,1,3,,,,Estadio Sarria,Mario Rubio Vazquez,
4/7/1982,Segunda ronda,A,Unión Soviética,Polonia,0,0,,,,Camp Nou,Bob Valentine,
4/7/1982,Segunda ronda,D,Irlanda del Norte,Francia,1,4,,,,Estadio Vicente Calderon,Alojzy Jarguz,
5/7/1982,Segunda ronda,B,España,Inglaterra,0,0,,,,Estadio Santiago Bernabeu,Alexis Ponnet,
5/7/1982,Segunda ronda,C,Italia,Brasil,3,2,,,,Estadio Sarria,Abraham Klein,
8/7/1982,Semifinal,,Polonia,Italia,0,2,,,,Camp Nou,Juan Daniel Cardellino,
8/7/1982,Semifinal,,Alemania Occidental,Francia,3,3,y,,,Estadio Ramon Sanchez Pizjuan,Charles Corver,
10/7/1982,Tercer puesto,,Polonia,Francia,3,2,,,,Estadio Jose Rico Perez,Antonio Garrido,
11/7/1982,Final,,Italia,Alemania Occidental,3,1,,,,Estadio Santiago Bernabeu,Arnaldo Cezar Coelho,
