date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
24/6/1950,Primera ronda,1,Brasil,México,4,0,,,,Estadio do Maracana, George Reader,
25/6/1950,Primera ronda,1,Yugoslavia,Suiza,3,0,,,,Estadio Independencia Belo Horizonte, Giovanni Galeati,
25/6/1950,Primera ronda,2,Inglaterra,Chile,2,0,,,,Estadio do Maracana, Karel van der Meer,
25/6/1950,Primera ronda,2,España,Estados Unidos,3,1,,,,Estadio Durival de Britto, Mario Vianna,
25/6/1950,Primera ronda,3,Suecia,Italia,3,2,,,,Estadio do Pacaembu, Jean Lutz,
28/6/1950,Primera ronda,1,Brasil,Suiza,2,2,,,,Estadio do Pacaembu, Ramon Azon Roma,
28/6/1950,Primera ronda,1,Yugoslavia,México,4,1,,,,Estadio dos Eucaliptos, Reginald Leate,
29/6/1950,Primera ronda,2,España,Chile,2,0,,,,Estadio do Maracana, Alberto Malcher,
29/6/1950,Primera ronda,2,Estados Unidos,Inglaterra,1,0,,,,Estadio Independencia, Generoso Dattilo,
29/6/1950,Primera ronda,3,Suecia,Paraguay,2,2,,,,Estadio Durival Britto, Robert Mitchell,
1/7/1950,Primera ronda,1,Brasil,Yugoslavia,2,0,,,,Estadio do Maracana, Benjamin Griffiths,
2/7/1950,Primera ronda,1,Suiza,México,2,1,,,,Estadio dos Eucaliptos, Ivan Eklind,
2/7/1950,Primera ronda,2,España,Inglaterra,1,0,,,,Estadio do Maracana, Giovanni Galeati,
2/7/1950,Primera ronda,2,Chile,Estados Unidos,5,2,,,,Estadio Ilha do Retiro, Mario Gardelli,
2/7/1950,Primera ronda,3,Italia,Paraguay,2,0,,,,Estadio do Pacaembu, Arthur Ellis,
2/7/1950,Primera ronda,4,Uruguay,Bolivia,8,0,,,,Estadio Independencia Belo Horizonte, George Reader,
9/7/1950,Ronda final,,Uruguay,España,2,2,,,,Estadio do Pacaembu, Benjamin Griffiths,
9/7/1950,Ronda final,,Brasil,Suecia,7,1,,,,Estadio do Maracana, Arthur Elis,
13/7/1950,Ronda final,,Brasil,España,6,1,,,,Estadio do Maracana, Reginald Leafe,
13/7/1950,Ronda final,,Uruguay,Suecia,3,2,,,,Estadio do Pacaembu, Giovanni Galeati,
16/7/1950,Ronda final,,Suecia,España,3,1,,,,Estadio do Pacaembu, Karl van der Meer,
16/7/1950,Ronda final,,Uruguay,Brasil,2,1,,,,Estadio do Maracana, George Reader,
